dataset,n_edits,method,edit_success_mean,edit_success_std,preservation_mean,preservation_std,preserve_accuracy_mean,preserve_accuracy_std,logit_drift_mean,logit_drift_std,preservation_kl_mean,preservation_kl_std,relative_param_change_mean,relative_param_change_std,structural_cost_mean,structural_cost_std,runtime_s_mean,runtime_s_std
wine,1,FT,1.0,0.0,0.7232704559961954,0.09496648808867587,0.7044025262196859,0.1072875436901797,18.685157775878906,2.4379856250464367,1.4492051998774211,0.6055799895308986,0.6356093883514404,0.08474975353820328,29.26844533284505,3.6985688787599935,0.03667487299996234,0.011435987481468488
wine,1,L2-SP,1.0,0.0,0.7610062956809998,0.0850801775726412,0.7421383659044901,0.09496648808867587,13.097247123718262,2.0111970393850105,0.9403742949167887,0.3372095709942039,0.4471324880917867,0.11468595090473041,21.355183919270832,4.245760627689395,0.04314693166664559,0.006593206982536622
wine,1,MSR,1.0,0.0,0.9496855537096659,0.05446699873575539,0.9245283007621765,0.05660378932952881,5.243836561838786,3.1031208315489605,0.11101123131811619,0.0979296527128381,0.31173371771971387,0.12869657625500583,11.752648512522379,5.8997483553003285,0.0056322380000892736,0.0023325115692986254
wine,5,EWC,1.0,0.0,0.6054421663284302,0.09426129231736262,0.5714285771052042,0.10798986552295009,20.82709566752116,0.998860703085499,1.25567360719045,0.3057837281685969,0.618873675664266,0.031241854203548358,27.800465265909832,1.8260722713976292,0.04818642699986716,0.004388186530413496
wine,5,Euclidean-MSR,1.0,0.0,0.5442176858584086,0.2044214785065265,0.523809532324473,0.17356940494822054,18.570730209350586,5.761200170166679,0.7112457156181335,0.26756792376818517,0.45904701948165894,0.03809634542554132,32.254734675089516,5.402277428703039,0.022017739333326364,0.012688683283115253
wine,5,FT,1.0,0.0,0.44897958636283875,0.08163264393806458,0.421768714984258,0.051359423042538356,25.486052831013996,1.3169582488698985,1.7400084336598713,0.3759018154142472,0.7261635065078735,0.03912807792557509,33.71426010131836,2.5680188468323246,0.05853035999992547,0.023749115431859206
wine,5,L2-SP,1.0,0.0,0.6122449239095052,0.07069595203164313,0.5782312750816345,0.0849659520522929,20.749942779541016,1.1290006024075505,1.194905678431193,0.3279325358777911,0.5849197109540304,0.03680205459019329,29.0601323445638,2.1633018733553016,0.05910431566659705,0.006071268797323017
wine,5,MSR,1.0,0.0,0.5918367306391398,0.15939284320860814,0.5578231414159139,0.1358842511524319,16.513195037841797,5.658211706363649,0.667277455329895,0.23759648109284864,0.6166366040706635,0.11386857122029281,25.267711003621418,4.753537681435149,0.02530521266665649,0.008212892739774469
wine,10,EWC,1.0,0.0,0.5454545418421427,0.02272728085518535,0.5303030212720236,0.03471648194632788,18.547006607055664,3.2083927363907603,1.095025897026062,0.004378326409218916,0.6132294734319051,0.032889378889056145,23.177366256713867,2.2252698840954404,0.14799794833318933,0.06865504167233048
wine,10,Euclidean-MSR,1.0,0.0,0.3181818226973216,0.22727273404598253,0.28787878404061,0.20622207946621782,23.831580479939777,6.448589551725339,1.0209426482518513,0.2997818551254159,0.5164278149604797,0.020071383768488316,36.06583468119303,4.102681359420493,0.08693063433338466,0.040433822172130325
wine,10,FT,1.0,0.0,0.21212120602528253,0.2692326478064191,0.18939393758773804,0.2503441103950729,28.607951482137043,9.832301973507738,2.17911167939504,0.8138460985785682,0.831644336382548,0.10523035752365903,38.56998189290365,5.443078714243793,0.0684813629997431,0.015513330083123712
wine,10,L2-SP,1.0,0.0,0.49242422978083294,0.09462118222775101,0.46969695885976154,0.09185116041866354,19.527013142903645,4.123631354161821,1.0507453083992004,0.07817392343694991,0.5289169152577718,0.06324837479983357,29.538699467976887,1.7933732520118255,0.1632498693334128,0.07994816620878317
wine,10,MSR,1.0,0.0,0.4469697078069051,0.20496591167472464,0.4166666616996129,0.18229103550844947,21.23905849456787,6.811981517879771,0.8838253617286682,0.24645314537940508,0.7104029456774393,0.10911807648103415,29.922917048136394,4.714642017610591,0.07792886366663272,0.020047678964732436
