edit_success,min_target_margin,preservation,preserve_accuracy,logit_drift,preservation_kl,relative_param_change,structural_cost,collateral_changes,dataset,seed,n_edits,method,beta,margin,iterations,runtime_s
1.0,0.2437896728515625,0.09090909361839294,0.06818182021379471,30.1163387298584,1.3073786497116089,0.5378110408782959,39.607791900634766,40,wine,19,10,Euclidean-MSR,,0.75,10,0.06564831600007892
1.0,0.7499997019767761,0.25,0.22727273404598236,26.745630264282227,1.074583888053894,0.8208117485046387,33.499420166015625,33,wine,19,10,MSR,8.0,0.75,10,0.08795815799976481
1.0,6.353355407714844,0.8113207817077637,0.7924528121948242,16.24774932861328,0.8463582992553711,0.7217150330543518,33.11376953125,10,wine,31,1,FT,,0.75,22,0.049776478999774554
1.0,7.284965515136719,0.849056601524353,0.8301886916160583,13.4697265625,0.6818029284477234,0.5735421776771545,26.072111129760742,8,wine,31,1,L2-SP,,0.75,22,0.04991277599992827
1.0,7.543844223022461,0.8301886916160583,0.8113207817077637,14.19195556640625,0.742827296257019,0.6104828119277954,26.40367889404297,9,wine,31,1,EWC,,0.75,22,0.038495464999869
1.0,0.7505054473876953,0.9056603908538818,0.8867924809455872,8.397187232971191,0.18291378021240234,0.28750184178352356,19.629411697387695,5,wine,31,1,Euclidean-MSR,,0.75,3,0.0031963530000211904
1.0,0.7661662101745605,0.8867924809455872,0.8679245114326477,8.435698509216309,0.21431700885295868,0.4496413469314575,18.15311050415039,6,wine,31,1,MSR,8.0,0.75,3,0.0029432020000967896
1.0,0.17148524522781372,0.36734694242477417,0.36734694242477417,26.830411911010742,1.9069929122924805,0.7612776756286621,36.25657653808594,31,wine,31,5,FT,,0.75,29,0.05108266299976094
1.0,0.1576773077249527,0.5714285969734192,0.5510203838348389,21.125198364257812,1.1407408714294434,0.5665191411972046,30.181713104248047,21,wine,31,5,L2-SP,,0.75,28,0.06336851299965929
1.0,0.15832144021987915,0.5510203838348389,0.5306122303009033,20.989990234375,1.1669433116912842,0.6157948970794678,28.755556106567383,22,wine,31,5,EWC,,0.75,28,0.04422831800002314
1.0,0.7500417232513428,0.3469387888908386,0.3469387888908386,22.129060745239258,0.8806580305099487,0.49286216497421265,36.0631103515625,32,wine,31,5,Euclidean-MSR,,0.75,4,0.010595377999834454
1.0,0.75,0.5102040767669678,0.4897959232330322,20.123477935791016,0.7520453929901123,0.6890163421630859,29.93431854248047,24,wine,31,5,MSR,8.0,0.75,10,0.03228192799997487
1.0,0.02887892723083496,0.06818182021379471,0.06818182021379471,30.20467758178711,2.3999712467193604,0.8344177603721619,39.006683349609375,41,wine,31,10,FT,,0.75,39,0.06517430399981095
1.0,0.0023116469383239746,0.5227272510528564,0.5227272510528564,19.910781860351562,1.0809589624404907,0.47433555126190186,29.569137573242188,21,wine,31,10,L2-SP,,0.75,69,0.19152116600025693
1.0,0.02329924702644348,0.5454545617103577,0.5681818127632141,17.898950576782227,1.0908470153808594,0.5776773691177368,21.94980812072754,20,wine,31,10,EWC,,0.75,58,0.1918948709999313
1.0,0.49572062492370605,0.3181818127632141,0.3181818127632141,24.147621154785156,1.0460546016693115,0.5134775638580322,37.01935577392578,30,wine,31,10,Euclidean-MSR,,0.75,10,0.06158302900030321
1.0,0.7478737831115723,0.4318181872367859,0.4318181872367859,23.350065231323242,0.9713327884674072,0.7077739834785461,31.689144134521484,25,wine,31,10,MSR,8.0,0.75,10,0.05484575299988137
1.0,16.543004989624023,0.5823529362678528,0.6000000238418579,45.69987487792969,2.3067173957824707,0.4991214871406555,33.9766845703125,71,breast_cancer,7,1,FT,,0.75,22,0.032065864999822224
1.0,14.110776901245117,0.770588219165802,0.7882353067398071,28.10978889465332,1.0025635957717896,0.37168240547180176,28.442739486694336,39,breast_cancer,7,1,L2-SP,,0.75,22,0.04483723499970438
1.0,15.591102600097656,0.7176470756530762,0.7352941036224365,30.033430099487305,1.2409310340881348,0.42720770835876465,26.710519790649414,48,breast_cancer,7,1,EWC,,0.75,22,0.04151726000009148
